"element_id","sentence_id","negative","neutral","positive","sentence"
"x1121","x1",NA,"a a is at the the the the end of of day csk kings th in matches firmly on table csktheki","win win win top","A win is a win at the end of the day

CSK the kings th win in matches Firmly on top of the table

CSKTheKi"
"x1122","x1","loser","why not nake it a team with with with the to play csk for for ipl and rcb last position","league winner trophy","Why not nake it a team league with the winner to play with CSK for ipl trophy and loser with RCB for last position"
"x1123","x1","missed","again number at the points table but batting anyway csk daaaaaaaaa",NA,"Again number at the points table But Missed batting 
Anyway CSK daaaaaaaaa"
"x1124","x1",NA,"on will let you to less of nrr csk continued its cskvkkr","confidence victory victory care steady","Confidence on victory will let you to less care of NRR CSK continued its steady victory CSKvKKR"
"x1125","x1",NA,"remains csk of the table ipl vivoipl cskvkkr","king top","King Remains 

CSK TOP OF THE TABLE

IPL VIVOIPL CSKvKKR"
"x1126","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1127","x1",NA,"our website csk the match whistlepodu ipl cricket viratkohli msdhoni rohits","visit won","visit our website
 CSK won the match whistlepodu 

ipl cricket viratkohli msdhoni rohits"
"x1128","x1",NA,"dhoni chennai emotional csk vs kkr ipl full video link","speech","Dhoni Chennai Emotional Speech CSK vs KKR IPL 

Full Video Link"
"x1129","x1","ban ban","you you can ipl ipl ipl from from tv but cant our hearts csk cricketsabkliye cskvkkr cricketfever ht",NA,"You Can Ban IPL From TV
But You Cant Ban IPL From Our Hearts 

CSK CricketSabKLiye IPL CSKvKKR CricketFever ht"
"x1130","x1",NA,"our website csk the match whistlepodu ipl cricket viratkohli msdhoni","visit won","visit our website
 CSK won the match whistlepodu 

ipl cricket viratkohli msdhoni"
"x1131","x1",NA,"a for csk tonight they were in commanding position from the very st over didnt eve","resounding win right allow","A resounding win for CSK tonight They were in commanding position right from the very st over didnt allow eve"
"x1132","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1133","x1",NA,"a a is at the the the the end of of day csk kings th in matches firmly on table csktheki","win win win top","A win is a win at the end of the day

CSK the kings th win in matches Firmly on top of the table

CSKTheKi"
"x1134","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1135","x1",NA,"csk","king","KING CSK"
"x1136","x1","bad","they trolled us for one against mumbai indians mi but now see were back by b","performance winning","They Trolled Us For One Bad Performance Against Mumbai Indians MI But Now See Were Back By Winning B"
"x1137","x1",NA,"csk playing average age but still rest of team youngsters cant chase their energy its shows how","clearly","CSK playing average age but still rest of team youngsters cant chase their energy its clearly shows how"
"x1138","x1",NA,"weather update from chepauk thanda csk called the shots tonight despite a typically garam andre russell inning",NA,"Weather update from Chepauk Thanda 

CSK called the shots tonight despite a typically Garam Andre Russell inning"
"x1139","x1","mad","zomatoindia have have you gone csk csk the match cskvkkr zomatopremierleague zomato zomatoprediction done","won","zomatoindia have you gone mad csk have won the match csk CSKvKKR ZomatoPremierLeague Zomato zomatoprediction done"
"x1140","x1","lost","played this is how u are playing with customerscsk the the match match but you said oops csk","well won","Well played this is how u are playing with customersCSK won the match but you said Oops CSK lost the match"
"x1141","x1",NA,"spell with the ball hil togetherwebuild csk","perfect new","Perfect spell with the new ball HIL TogetherWeBuild CSK"
"x1142","x1",NA,"csk becomes the the st team to get double digit points points in in ipl also their no spot table","reclaim","CSK becomes the st Team to get double digit points in IPL

Also reclaim their No spot in the Points Table"
"x1143","x1","concerns unlikely","after after the the the first game dhoni voiced about pitch hes done same todays gameits to c",NA,"After the first game Dhoni voiced concerns about the pitch Hes done the same after todays gameits unlikely to c"
"x1144","x1",NA,"remains csk of the table ipl vivoipl cskvkkr","king top","King Remains 

CSK TOP OF THE TABLE

IPL VIVOIPL CSKvKKR"
"x1145","x1","steals","an an by record the the of show all t","incredible incredible performance new young lion","An incredible performance by An incredible new record The young lion of steals the show all t"
"x1146","x1","missed","again number at the points table but batting anyway csk daaaaaaaaa",NA,"Again number at the points table But Missed batting 
Anyway CSK daaaaaaaaa"
"x1147","x1","sweating","whenwhere is due dew chepauk chennai ipl csk",NA,"WhenWhere Sweating is Due Dew Chepauk Chennai
IPL CSK"
